pdb_id,uniprot_id,asd90,allosite,passer_ensemble,allositepro,allopred,passer_automl,passer_rank
11BG,P00669,,,,True,True,True,True
1AO0,P00497,True,True,True,,,,
1B86,P68871,,,,True,True,,
1BJ4,P34896,,,,,,True,True
1CE8,P00968,True,True,True,True,True,True,True
1COZ,P27623,True,True,True,,,,
1CSM,P32178,,,,,,True,True
1CZA,P19367,,,,,,True,True
1DB1,P11473,True,True,True,,,,
1DD7,P29477,True,True,True,,,,
1DKU,P14193,,,,True,True,,
1EFA,P03023,True,True,True,True,True,True,True
1EGY,Q00441,True,True,True,,,True,True
1EM6,P06737,,,,True,True,,
1ESM,P0A6I3,True,True,True,,,,
1F2U,P58301,,,,True,,True,True
1FAP,P62942,True,True,True,,,,
1FCJ,P0A1E3,,,,,,True,True
1FIY,P00864,,,,True,True,,
1FS5,P0A759,,,,,,True,True
1FTA,P09467,True,True,True,,,,
1FX2,Q99279,,,,True,True,True,True
1G0R,Q9HU22,,,,,,True,True
1G9V,P69905,,,,,,True,True
1GFZ,P00489,,,,,,True,True
1GPH,P00497,,,,,,True,True
1GZ3,P23368,,,,True,True,,
1H5S,P37744,,,,True,True,,
1H78,P07071,,,,True,True,,
1H9G,P0A8V6,,,,True,True,,
1HAK,P08758,True,True,True,,,True,True
1HK8,P07071,,,,,,True,True
1HKB,P19367,,,,True,True,,
1I1Q,P00898,,,,,,True,True
1I6K,P00953,,,,,,True,True
1I7S,P00897,True,True,True,True,True,,
1IKW,P03366,,,,,,True,True
1JLR,Q26998,,,,True,True,True,True
1K7E,P00929,,,,,,True,True
1KP8,P0A6F5,True,True,True,,,,
1KZ8,P00636,,,,True,True,,
1LDN,P00344,True,True,True,,,,
1LTH,E8ME30,True,True,True,,,,
1M8P,Q12650,,,,True,True,True,True
1MC0,Q922S4,,,,,,True,True
1MSV,P17707,,,,,,True,True
1NH8,P9WMN1,,,,True,True,True,True
1NJJ,Q9TZZ6,,,,True,True,,
1NSG,P62942,,,,True,True,True,True
1O0S,P27443,,,,,,True,True
1OF6,P32449,,,,True,True,,
1OG0,P32449,,,,,,True,True
1PCQ,P0A6F5,,,,True,True,,
1PEQ,Q08698,True,True,True,,,True,True
1PFK,P0A796,True,True,True,True,True,True,True
1PJ3,P23368,True,True,True,,,,
1QP0,P0ACP7,,,,True,True,,
1QTI,P04058,True,True,True,,,,
1QW7,P0A434,True,True,True,True,True,True,True
1R1V,O85142,,,,,,True,True
1RD4,P20701,True,True,True,,,,
1RX2,P0ABQ4,True,True,True,,,,
1S9J,Q02750,True,True,True,,,,
1SG8,P00734,,,,,,True,True
1SHJ,P55210,True,True,True,True,True,True,True
1T34,P18910,,,,,,True,True
1T48,P18031,,,,,,True,True
1T49,P18031,True,True,True,True,True,,
1T5A,P14618,,,,,,True,True
1TBF,O76074,,,,,,True,True
1TUG,P0A7F3,True,True,True,,,True,True
1UM8,O25926,,,,,,True,True
1UXU,O57693,,,,,,True,True
1UXV,O57693,,,,True,True,,
1V4S,P35557,True,True,True,,,True,True
1VEA,P10943,,,,,,True,True
1VM1,P0AD64,,,,,,True,True
1VPW,P0ACP7,,,,,,True,True
1VST,Q980Q4,,,,,,True,True
1W0F,P08684,,,,True,True,True,True
1W25,B8GZM2,True,True,True,,,,
1W96,Q00955,True,True,True,True,True,True,True
1X88,P52732,True,True,True,,,,
1XJE,O33839,True,True,True,,,,
1XJF,O33839,,,,True,True,,
1XJG,O33839,,,,,,True,True
1XLS,O35627,True,True,True,,,,
1XLS,P19793,True,True,True,,,,
1XLS,Q9WUI9,True,True,True,,,,
1XMV,P0A7G6,,,,,,True,True
1XTU,Q980Q4,True,True,True,True,True,,
1XXB,P0A6D0,,,,,,True,True
1YGC,P08709,,,,,,True,True
1YXD,P0A6L2,,,,,,True,True
1Z2L,P77425,,,,,,True,True
1Z8D,P11217,True,True,True,True,True,,
1ZDQ,P38501,,,,,,True,True
1ZDS,P38501,True,True,True,True,True,,
1ZRC,P0ACJ8,,,,,,True,True
2A68,Q8RQE9,,,,,,True,True
2A69,Q8RQE9,,,,True,,,
2AL4,P19491,True,True,True,,,,
2BBH,Q9WZ31,,,,,,True,True
2BE9,P74766,,,,True,True,,
2BND,P0A7E9,True,True,True,,,,
2BTY,Q9X2A4,,,,,,True,True
2BU2,Q15119,True,True,True,,,,
2BU6,Q15119,,,,True,,,
2BU7,Q15119,,,,True,True,,
2BU8,Q15119,,,,True,,True,True
2BXA,P02768,,,,True,True,True,True
2C13,Q59643,,,,,,True,True
2C2B,Q9S7B5,True,True,True,,,,
2CDQ,Q9LYU8,,,,,,True,True
2CLH,P00929,True,True,True,,,,
2D5X,P02062,,,,True,True,,
2D5Z,P69905,True,True,True,,,,
2DEW,Q9UM07,,,,,,True,True
2DJZ,O57883,,,,,,True,True
2EWN,P06709,True,True,True,,,True,True
2FSZ,Q92731,,,,,,True,True
2GS7,P00533,True,True,True,,,,
2H08,P60891,,,,,,True,True
2HA4,P21836,,,,,,True,True
2HIM,P0A962,,,,True,True,,
2HVW,Q8DSE5,,,,True,True,True,True
2I7N,Q8TE04,,,,True,,,
2I7P,Q9H999,,,,,,True,True
2I80,Q5HEB7,True,True,True,,,True,True
2JC9,P49902,,,,,,True,True
2JFN,P22634,,,,True,True,True,True
2JFZ,Q9ZLT0,,,,,,True,True
2JHR,P08799,,,,True,True,,
2LDB,P00344,,,,True,True,,
2O8B,P43246,,,,,,True,True
2OI2,A0A0H2UNK6,True,True,True,,,,
2ONB,P04818,,,,,,True,True
2ORO,P29477,,,,,,True,True
2P2N,P0A962,,,,,,True,True
2PA3,P0A9T0,,,,,,True,True
2PIO,P10275,,,,,,True,True
2POC,P53704,True,True,True,,,,
2PUC,P0ACP7,True,True,True,,,,
2PUV,P53704,,,,True,True,True,True
2Q5O,P51852,True,True,True,True,True,True,True
2Q8M,P0A993,,,,True,True,,
2QB4,O67854,,,,,,True,True
2QF7,Q2K340,True,True,True,,,,
2QMX,Q8KBW6,,,,,,True,True
2R1R,P00452,True,True,True,,,True,True
2RD5,Q9SCL7,,,,True,True,,
2RDE,A0A0H3ADR8,,,,True,True,True,True
2UYI,P52732,,,,,,True,True
2V4Y,P0A7E9,,,,True,True,,
2V92,P80385,True,True,True,,,,
2VD3,O27550,,,,True,True,True,True
2VD4,P43889,,,,,,True,True
2VGI,P30613,True,True,True,,,,
2VJY,Q12629,,,,,,True,True
2VPR,P51561,,,,True,True,True,True
2VVT,Q836J0,,,,,,True,True
2W4I,Q9ZLT0,,,,True,True,,
2WU1,P0A759,,,,True,True,,
2X1L,A0R3E2,True,True,True,,,,
2XJC,P49902,,,,True,True,,
2XO8,P08799,True,True,True,,,,
2XTA,A0R2B1,,,,,,True,True
2Y0P,A0R2B1,,,,True,True,,
2YC3,P69834,True,True,True,,,,
2YC5,P69834,,,,,,True,True
2YHD,P10275,,,,True,True,,
2YLO,P10275,,,,True,,,
2ZMF,Q9Y233,True,True,True,True,,True,True
3AO1,Q72498,True,True,True,,,,
3ATH,O57946,,,,,,True,True
3AUY,Q58718,,,,,,True,True
3BEO,A0A348ACF3,True,True,True,,,True,True
3BRK,P39669,,,,,,True,True
3BZ7,P08799,,,,True,,,
3C35,P22756,,,,,,True,True
3CMW,P0A7G6,,,,,,True,True
3CQD,P06999,True,True,True,,,,
3CSM,P32178,,,,True,True,,
3D2F,P32589,,,,,,True,True
3D2P,Q5FAK7,,,,,,True,True
3DBA,P52731,,,,,,True,True
3DC2,P9WNX3,,,,True,True,,
3E3I,P45148,,,,,,True,True
3E5U,B8FW11,,,,True,True,,
3E6C,B8FW11,,,,,,True,True
3EEB,Q9KS12,,,,,,True,True
3EPS,Q8X607,True,True,True,True,True,True,True
3ETD,P00366,,,,,,True,True
3ETE,P00366,,,,True,True,,
3ETG,P00366,,,,True,,,
3ETL,P0CW58,,,,,,True,True
3ETQ,O88703,,,,,,True,True
3F1O,Q99814,,,,,,True,True
3F3V,P00523,True,True,True,,,,
3F6G,Q8F3Q1,True,True,True,True,True,,
3F6H,Q8F3Q1,,,,,,True,True
3F78,P20701,,,,,,True,True
3F9N,O14757,,,,True,True,,
3FIG,P9WQB3,True,True,True,,,,
3FUD,P09960,,,,,,True,True
3FZY,Q9KS12,True,True,True,,,,
3G86,P26663,,,,True,,,
3GCD,Q9KS12,,,,True,True,,
3GCP,Q16539,True,True,True,,,,
3GR4,P14618,True,True,True,,,,
3GVU,P42684,True,True,True,,,,
3H1V,P35557,,,,True,True,,
3H30,P68400,True,True,True,True,True,True,True
3H6O,P14618,,,,True,True,,
3HL8,P04995,,,,,,True,True
3HNC,P23921,,,,True,True,,
3HO6,P16154,,,,True,True,,
3HO8,A0A0H3JRU9,True,True,True,True,True,,
3HV8,Q9HUK6,True,True,True,,,True,True
3I0R,P04585,True,True,True,,,,
3IAD,Q08499,True,True,True,,,True,True
3IDB,P05132,True,True,True,,,,
3IDB,P12369,True,True,True,,,,
3IFA,O00757,,,,True,True,,
3IJG,P14174,True,True,True,,,True,True
3IRH,Q836G9,True,True,True,True,True,,
3IYD,P0ACJ8,True,True,True,,,,
3JVS,O14757,,,,,,True,True
3K8S,P37231,,,,,,True,True
3KC1,P09467,,,,,,True,True
3KCG,P01008,,,,True,True,,
3KF0,P12499,,,,True,True,,
3KGF,O53512,,,,True,True,,
3KH5,Q58622,,,,,,True,True
3KJF,P42574,,,,,,True,True
3L3V,Q72498,,,,True,True,,
3L76,P74569,,,,,,True,True
3LA3,P0A4U6,,,,,,True,True
3LAJ,P9WPY9,,,,True,True,,
3LAP,P9WPY9,,,,,,True,True
3LSW,P19492,,,,True,True,,
3LU6,P02768,,,,True,,,
3LW0,P08069,,,,True,True,,
3M6F,P20701,,,,True,,,
3MJX,P08799,,,,,,True,True
3MK6,Q9H999,True,True,True,,,,
3MKS,P07834,True,True,True,True,True,True,True
3MWB,A1R118,,,,True,True,True,True
3MZH,P9WMH3,,,,,,True,True
3N1V,P14324,,,,True,True,True,True
3NAX,O15530,,,,,,True,True
3NF7,P12497,,,,,,True,True
3NJQ,P88911,True,True,True,,,,
3NUD,O53512,,,,,,True,True
3O2M,P45983,True,True,True,True,True,,
3O96,P31749,,,,True,True,,
3OC1,Q16539,,,,,,True,True
3OF1,P07278,,,,,,True,True
3OS8,P03372,True,True,True,,,,
3PA8,Q189K3,,,,,,True,True
3PDT,P42527,,,,,,True,True
3PEE,Q189K3,True,True,True,,,,
3PG9,Q9WYH8,,,,True,True,True,True
3PJG,A0A0J9WZA6,True,True,True,True,True,True,True
3PMA,P00735,,,,True,True,,
3PNA,P00514,,,,,,True,True
3PP1,Q02750,,,,,,True,True
3PTZ,O60701,True,True,True,True,True,True,True
3PXF,P24941,,,,True,True,,
3PYY,P00519,,,,True,True,,
3QAK,P29274,,,,,,True,True
3QEL,Q00960,True,True,True,True,True,,
3QEM,Q00960,,,,,,True,True
3QH0,Q05769,,,,True,True,,
3QOP,P0ACJ8,,,,True,True,,
3R1R,P00452,,,,True,True,,
3RZ3,P49427,True,True,True,,,True,True
3S8A,P21524,,,,,,True,True
3SMQ,O60678,,,,,,True,True
3THO,Q9X1X1,,,,,,True,True
3TUV,P35559,,,,,,True,True
3UMO,P06999,,,,,,True,True
3UO9,O94925,True,True,True,True,True,,
3VP2,O94925,,,,,,True,True
3VQ8,Q72498,,,,True,,,
3ZCW,P52732,,,,True,,,
3ZFZ,A0A0H3JPA5,,,,,,True,True
3ZG1,P37975,,,,,,True,True
3ZLK,Q9HU22,True,True,True,,,,
3ZM9,P35790,,,,,,True,True
4A7A,P27338,,,,,,True,True
4A7W,P56106,,,,,,True,True
4AHS,P12497,,,,True,True,,
4AQH,P05121,,,,,,True,True
4AVB,O05581,True,True,True,,,True,True
4AW0,O15530,,,,True,True,,
4B1F,Q9ZLT0,,,,True,,,
4B2D,P14618,,,,True,,,
4B76,P26663,,,,,,True,True
4B9Q,P0A6Y8,True,True,True,,,True,True
4BBG,P52732,,,,True,True,,
4BNY,O54438,,,,,,True,True
4BO2,O54438,,,,True,True,,
4BQH,Q386Q8,,,,True,True,True,True
4BXH,P30694,,,,,,True,True
4BZB,Q9Y3Z3,,,,True,True,,
4C7B,Q9NTG7,,,,True,True,True,True
4CEV,P53608,,,,,,True,True
4CFE,P54646,,,,True,,,
4DFZ,P05132,,,,,,True,True
4E6C,Q16539,,,,True,True,,
4EAJ,P80385,,,,True,True,True,True
4EBW,Q05397,,,,True,True,,
4EJ8,P12499,,,,True,,,
4EJN,P31749,,,,,,True,True
4EO6,P26663,,,,True,,,
4ETZ,Q9HZE7,,,,True,True,,
4EU0,Q9HZE7,,,,,,True,True
4FC0,P15056,,,,,,True,True
4FXY,P42676,,,,,,True,True
4G1N,P14618,,,,True,,,
4G8O,P05121,,,,True,True,,
4GQQ,P04746,,,,,,True,True
4HNN,D7U7T8,,,,,,True,True
4HSG,O60678,,,,True,True,,
4I1R,Q9UDY8,,,,True,True,True,True
4I4F,Q05397,,,,,,True,True
4I89,P02766,,,,,,True,True
4IG3,P03366,,,,True,,,
4IO8,P0DMV8,,,,True,True,,
4JA8,P48735,,,,True,True,True,True
4JAF,P0ABH7,,,,True,True,True,True
4KE5,P26663,,,,,,True,True
4KFB,P03366,,,,True,True,,
4KKO,P03366,,,,True,,,
4KZT,Q0ASS9,,,,,,True,True
4LUC,P01116,,,,,,True,True
4M0Z,Q08881,,,,,,True,True
4M1P,A4INJ9,,,,,,True,True
4MBS,P51681,,,,True,True,True,True
4MDK,P49427,,,,True,True,,
4MRA,P00489,,,,True,True,,
4NBN,P55212,,,,True,True,,
4NIR,Q81VW8,,,,,,True,True
4NLD,Q9WMX2,,,,True,,,
4OHF,Q5ZZB6,,,,,,True,True
4OO9,P41594,,,,True,True,,
4OP0,I6YFP0,,,,,,True,True
4OR2,P0ABE7,,,,,,True,True
4OYI,Q96PN6,,,,,,True,True
4P3H,Q2HRB6,,,,True,True,True,True
4P9D,H6WFU3,,,,,,True,True
4P9D,H6WFU3,,,,,,True,True
4P9D,H6WFU3,,,,,,True,True
4P9D,H6WFU3,,,,,,True,True
4Q0A,Q9PTN2,,,,,,True,True
4Q9M,Q8DRB3,,,,,,True,True
4QFX,Q9Y3Z3,,,,,,True,True
4QPL,P51668,,,,,,True,True
4QSK,,,,,,,True,True
4RUT,Q05769,,,,,,True,True
4TPT,P53671,,,,,,True,True
4TQC,P06730,,,,,,True,True
4TVG,Q90EA1,,,,,,True,True
4UUU,P35520,,,,,,True,True
6DHM,P00366,,,,True,,,
